backend,variant,deg,npts,rep,type,op,maxrelerr,meanrelerr,tpercall
serial,FMA,3,400000,20000,td,HORNER,8.5956e-49,1.4277e-49,1.8926e-08
serial,FMA,3,400000,20000,td,HORNER-V,8.5956e-49,1.4277e-49,2.0971e-08
serial,FMA,3,400000,20000,td,ESTRIN,1.0339e-48,1.9156e-49,4.7335e-08
serial,FMA,3,400000,20000,td,ESTRIN-V,1.0339e-48,1.9156e-49,4.7291e-08
serial,FMA,3,400000,20000,td,EVALDIFF,1.2460e-48,2.2052e-49,3.0584e-08
serial,FMA,3,400000,20000,td,POLYMUL,1.7898e-48,7.3017e-49,4.5029e-08
serial,FMA,3,400000,20000,qd,HORNER,5.2435e-65,8.5244e-66,3.5016e-08
serial,FMA,3,400000,20000,qd,HORNER-V,5.2435e-65,8.5244e-66,3.7239e-08
serial,FMA,3,400000,20000,qd,ESTRIN,9.5677e-65,1.2230e-65,7.5603e-08
serial,FMA,3,400000,20000,qd,ESTRIN-V,9.5677e-65,1.2230e-65,7.5823e-08
serial,FMA,3,400000,20000,qd,EVALDIFF,7.3725e-65,1.4063e-65,4.4163e-08
serial,FMA,3,400000,20000,qd,POLYMUL,6.1562e-65,1.9763e-65,8.2508e-08
neon,Q,3,400000,20000,dd,HORNER,1.1098e-32,1.9775e-33,1.4361e-08
neon,Q,3,400000,20000,dd,HORNER-V,1.1098e-32,1.9775e-33,5.7747e-09
neon,Q,3,400000,20000,dd,ESTRIN,2.0181e-32,3.6599e-33,3.5505e-08
neon,Q,3,400000,20000,dd,ESTRIN-V,2.0181e-32,3.6599e-33,4.3030e-08
neon,Q,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.3182e-32,5.8657e-09
neon,Q,3,400000,20000,dd,POLYMUL,2.2520e-32,1.1758e-32,1.7913e-08
neon,Q,3,400000,20000,td,HORNER,6.4286e-49,1.0758e-49,6.2023e-08
neon,Q,3,400000,20000,td,HORNER-V,6.4286e-49,1.0758e-49,4.8523e-08
neon,Q,3,400000,20000,td,ESTRIN,1.0216e-48,1.5296e-49,8.8874e-08
neon,Q,3,400000,20000,td,ESTRIN-V,4.2849e-49,1.0336e-49,1.0858e-07
neon,Q,3,400000,20000,td,EVALDIFF,5.1374e-49,7.8870e-50,6.1521e-08
neon,Q,3,400000,20000,td,POLYMUL,1.7898e-48,8.2449e-49,1.6211e-07
