platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,dd,binary64,2,106,256,0,0.000674009,0.00021221,3.1761,omp,4.690842e-32,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,dd,binary64,2,106,512,0,0.000517367,0.000417541,1.2391,omp,6.043425e-32,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,dd,binary64,2,106,1024,0,0.000711801,0.000829322,0.8583,omp,9.651838e-32,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,td,binary64,3,159,128,0,0.000659624,0.000508438,1.2974,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,td,binary64,3,159,256,0,0.000359604,0.001013884,0.3547,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,td,binary64,3,159,512,0,0.000807418,0.002021113,0.3995,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,td,binary64,3,159,1024,0,0.001336513,0.004180258,0.3197,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qd,binary64,4,212,128,0,0.000680552,0.001096205,0.6208,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qd,binary64,4,212,256,0,0.000562055,0.00219265,0.2563,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qd,binary64,4,212,512,0,0.001080605,0.004381299,0.2466,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
