prec,backend,fma,family,dim,maxrelerr
ds,neon,fma,hilbert,24,1.151253e+02
ds,neon,fma,hilbert,26,1.426857e+04
ds,neon,fma,hilbert,28,1.188558e+03
ds,neon,fma,hilbert,30,8.283717e+01
ds,neon,fma,hilbert,32,4.017919e+02
ds,neon,fma,hilbert,34,4.586490e+01
ds,neon,fma,hilbert,36,6.303979e+01
ds,neon,fma,hilbert,38,2.478119e+02
ds,neon,fma,hilbert,40,9.215075e+01
ds,sve2,nofma,hilbert,2,1.065814e-14
ds,sve2,nofma,hilbert,4,9.212631e-12
ds,sve2,nofma,hilbert,6,1.058825e-08
ds,sve2,nofma,hilbert,8,3.865681e-06
ds,sve2,nofma,hilbert,10,6.980569e-04
ds,sve2,nofma,hilbert,12,3.270544e+01
ds,sve2,nofma,hilbert,14,7.005169e+00
ds,sve2,nofma,hilbert,16,4.516716e+00
ds,sve2,nofma,hilbert,18,2.919892e+01
ds,sve2,nofma,hilbert,20,1.192818e+01
ds,sve2,nofma,hilbert,22,1.606746e+01
ds,sve2,nofma,hilbert,24,3.403378e+01
ds,sve2,nofma,hilbert,26,2.653144e+01
ds,sve2,nofma,hilbert,28,3.597425e+01
ds,sve2,nofma,hilbert,30,5.298401e+01
ds,sve2,nofma,hilbert,32,3.539846e+02
ds,sve2,nofma,hilbert,34,9.586493e+01
ds,sve2,nofma,hilbert,36,1.065661e+02
ds,sve2,nofma,hilbert,38,4.855717e+01
ds,sve2,nofma,hilbert,40,6.168159e+02
ds,sve2,fma,hilbert,2,1.065814e-14
ds,sve2,fma,hilbert,4,1.237010e-11
ds,sve2,fma,hilbert,6,4.545644e-09
ds,sve2,fma,hilbert,8,2.747057e-06
ds,sve2,fma,hilbert,10,1.059495e-02
ds,sve2,fma,hilbert,12,1.954609e+02
ds,sve2,fma,hilbert,14,1.011178e+01
ds,sve2,fma,hilbert,16,1.511969e+01
ds,sve2,fma,hilbert,18,3.798457e+01
ds,sve2,fma,hilbert,20,6.331392e+01
ds,sve2,fma,hilbert,22,5.066032e+01
ds,sve2,fma,hilbert,24,1.151253e+02
ds,sve2,fma,hilbert,26,1.426857e+04
ds,sve2,fma,hilbert,28,1.188558e+03
ds,sve2,fma,hilbert,30,8.283717e+01
ds,sve2,fma,hilbert,32,4.017919e+02
ds,sve2,fma,hilbert,34,4.586490e+01
ds,sve2,fma,hilbert,36,6.303979e+01
ds,sve2,fma,hilbert,38,2.478119e+02
ds,sve2,fma,hilbert,40,9.215075e+01
ts,serial,nofma,hilbert,2,3.176373e-22
ts,serial,nofma,hilbert,4,8.076989e-19
ts,serial,nofma,hilbert,6,3.661074e-16
ts,serial,nofma,hilbert,8,3.235201e-13
ts,serial,nofma,hilbert,10,7.047266e-11
ts,serial,nofma,hilbert,12,2.393502e-07
ts,serial,nofma,hilbert,14,7.130123e-05
ts,serial,nofma,hilbert,16,1.749742e-01
ts,serial,nofma,hilbert,18,2.043616e+01
ts,serial,nofma,hilbert,20,2.243249e+01
ts,serial,nofma,hilbert,22,3.994887e+01
ts,serial,nofma,hilbert,24,1.501395e+01
ts,serial,nofma,hilbert,26,3.277267e+01
ts,serial,nofma,hilbert,28,1.705838e+01
ts,serial,nofma,hilbert,30,7.571526e+01
ts,serial,nofma,hilbert,32,2.817976e+01
ts,serial,nofma,hilbert,34,1.674920e+02
ts,serial,nofma,hilbert,36,5.041116e+01
ts,serial,nofma,hilbert,38,2.856604e+02
ts,serial,nofma,hilbert,40,9.429566e+01
ts,serial,fma,hilbert,2,3.176373e-22
ts,serial,fma,hilbert,4,1.822974e-19
ts,serial,fma,hilbert,6,2.691366e-16
ts,serial,fma,hilbert,8,1.039341e-12
ts,serial,fma,hilbert,10,4.747602e-10
ts,serial,fma,hilbert,12,5.946376e-07
ts,serial,fma,hilbert,14,6.210783e-05
ts,serial,fma,hilbert,16,6.234157e-01
ts,serial,fma,hilbert,18,2.153496e+01
ts,serial,fma,hilbert,20,9.568099e+01
ts,serial,fma,hilbert,22,6.188245e+01
ts,serial,fma,hilbert,24,4.516711e+01
ts,serial,fma,hilbert,26,2.573034e+02
ts,serial,fma,hilbert,28,9.651122e+02
ts,serial,fma,hilbert,30,2.726328e+02
ts,serial,fma,hilbert,32,1.356226e+03
ts,serial,fma,hilbert,34,1.027652e+02
ts,serial,fma,hilbert,36,6.757978e+01
ts,serial,fma,hilbert,38,2.619357e+02
ts,serial,fma,hilbert,40,1.435276e+02
ts,neon,nofma,hilbert,2,3.176373e-22
ts,neon,nofma,hilbert,4,8.076989e-19
ts,neon,nofma,hilbert,6,3.661074e-16
ts,neon,nofma,hilbert,8,3.235201e-13
ts,neon,nofma,hilbert,10,7.047266e-11
ts,neon,nofma,hilbert,12,2.393502e-07
ts,neon,nofma,hilbert,14,7.130123e-05
ts,neon,nofma,hilbert,16,1.749742e-01
ts,neon,nofma,hilbert,18,2.043616e+01
ts,neon,nofma,hilbert,20,2.243249e+01
ts,neon,nofma,hilbert,22,3.994887e+01
ts,neon,nofma,hilbert,24,1.501395e+01
ts,neon,nofma,hilbert,26,3.277267e+01
ts,neon,nofma,hilbert,28,1.705838e+01
ts,neon,nofma,hilbert,30,7.571526e+01
ts,neon,nofma,hilbert,32,2.817976e+01
ts,neon,nofma,hilbert,34,1.674920e+02
ts,neon,nofma,hilbert,36,5.041116e+01
ts,neon,nofma,hilbert,38,2.856604e+02
ts,neon,nofma,hilbert,40,9.429566e+01
ts,neon,fma,hilbert,2,3.176373e-22
ts,neon,fma,hilbert,4,1.822974e-19
ts,neon,fma,hilbert,6,3.177646e-16
ts,neon,fma,hilbert,8,1.393651e-13
ts,neon,fma,hilbert,10,2.413488e-10
ts,neon,fma,hilbert,12,1.169265e-07
ts,neon,fma,hilbert,14,1.425843e-04
ts,neon,fma,hilbert,16,5.124341e-01
ts,neon,fma,hilbert,18,1.078982e+01
ts,neon,fma,hilbert,20,2.616289e+01
ts,neon,fma,hilbert,22,1.326725e+02
ts,neon,fma,hilbert,24,4.822066e+01
ts,neon,fma,hilbert,26,1.377452e+02
ts,neon,fma,hilbert,28,3.582820e+02
ts,neon,fma,hilbert,30,2.484622e+02
ts,neon,fma,hilbert,32,2.960108e+02
ts,neon,fma,hilbert,34,8.531436e+01
ts,neon,fma,hilbert,36,4.547502e+01
ts,neon,fma,hilbert,38,3.602758e+01
ts,neon,fma,hilbert,40,1.387624e+02
ts,sve2,nofma,hilbert,2,3.176373e-22
ts,sve2,nofma,hilbert,4,8.076989e-19
ts,sve2,nofma,hilbert,6,3.661074e-16
ts,sve2,nofma,hilbert,8,3.235201e-13
ts,sve2,nofma,hilbert,10,7.047266e-11
