backend,type,op,N,seconds,iters,mflops
avx512,cdd,spmv,256,8.923316e-05,4096,39.8955
avx512,ctd,axpy,256,2.859932e-06,131072,179.0253
avx512,ctd,matvec,256,1.100386e-03,256,119.1145
avx512,ctd,matmul,256,2.292459e-01,1,146.3687
avx512,ctd,spmv,256,2.426817e-04,1024,14.6694
avx512,cqd,axpy,256,5.460694e-06,65536,93.7610
avx512,cqd,matvec,256,1.733992e-03,128,75.5897
avx512,cqd,matmul,256,4.509439e-01,1,74.4093
avx512,cqd,spmv,256,3.294707e-04,1024,10.8052
avx512,cd,axpy,512,3.451337e-07,1048576,2966.9663
avx512,cd,matvec,512,2.836161e-04,1024,1848.5832
avx512,cd,matmul,512,2.939770e-01,1,913.1171
avx512,cd,spmv,512,2.423595e-04,1024,29.4769
avx512,cdd,axpy,512,3.155012e-06,65536,324.5630
avx512,cdd,matvec,512,2.079906e-03,128,252.0729
avx512,cdd,matmul,512,1.918939e+00,1,139.8874
avx512,cdd,spmv,512,1.778398e-04,2048,40.1710
avx512,ctd,axpy,512,7.223352e-06,32768,141.7624
avx512,ctd,matvec,512,6.850839e-03,32,76.5290
avx512,ctd,matmul,512,3.406577e+00,1,78.7992
avx512,ctd,spmv,512,4.851697e-04,512,14.7247
avx512,cqd,axpy,512,1.012274e-05,32768,101.1584
avx512,cqd,matvec,512,6.683536e-03,32,78.4447
avx512,cqd,matmul,512,5.658970e+00,1,47.4354
avx512,cqd,spmv,512,6.585587e-04,512,10.8479
avx512,cd,axpy,1024,6.879823e-07,524288,2976.8209
avx512,cd,matvec,1024,1.088125e-03,256,1927.3085
avx512,cd,matmul,1024,3.131384e+00,1,685.7938
avx512,cd,spmv,1024,4.885159e-04,512,29.2969
avx512,cdd,axpy,1024,6.683105e-06,32768,306.4444
avx512,cdd,matvec,1024,1.403782e-02,16,149.3930
avx512,cdd,matmul,1024,1.738193e+01,1,123.5469
avx512,cdd,spmv,1024,3.559005e-04,1024,40.2135
avx512,ctd,axpy,1024,2.452149e-05,8192,83.5186
avx512,ctd,matvec,1024,2.995288e-02,8,70.0150
avx512,ctd,matmul,1024,3.519429e+01,1,61.0180
avx512,ctd,spmv,1024,9.704493e-04,256,14.7478
avx512,cqd,axpy,1024,2.701039e-05,8192,75.8227
avx512,cqd,matvec,1024,3.015411e-02,8,69.5478
avx512,cqd,matmul,1024,6.271307e+01,1,34.2430
avx512,cqd,spmv,1024,1.323070e-03,256,10.8173
avx512,cd,axpy,2048,1.964896e-06,131072,2084.5887
avx512,cd,matvec,2048,7.675909e-03,32,1092.8489
avx512,cd,matmul,2048,4.675735e+01,1,367.4261
avx512,cd,spmv,2048,9.748433e-04,256,29.3873
avx512,cdd,axpy,2048,3.445483e-05,8192,118.8803
avx512,cdd,matvec,2048,4.737961e-02,8,177.0510
avx512,cdd,matmul,2048,2.466920e+02,1,69.6410
avx512,cdd,spmv,2048,7.124608e-04,512,40.2099
avx512,ctd,axpy,2048,7.683132e-05,4096,53.3116
avx512,ctd,matvec,2048,8.473301e-02,4,99.0005
avx512,ctd,matmul,2048,6.850441e+02,1,25.0785
avx512,ctd,spmv,2048,1.961736e-03,128,14.6034
avx512,cqd,axpy,2048,6.224099e-05,4096,65.8087
avx512,cqd,matvec,2048,1.373795e-01,2,61.0616
avx512,cqd,matmul,2048,1.270716e+03,1,13.5198
avx512,cqd,spmv,2048,2.674125e-03,128,10.7130
avx512,cd,spmv,128,5.996367e-05,4096,29.4845
avx512,cdd,spmv,128,4.570739e-05,8192,38.6808
avx512,ctd,spmv,128,1.217152e-04,2048,14.5257
avx512,cqd,spmv,128,2.278916e-04,1024,7.7581
avx512,cd,spmv,256,1.208554e-04,2048,29.4567
avx512,cdd,spmv,256,9.160885e-05,4096,38.8609
avx512,ctd,spmv,256,2.436270e-04,1024,14.6125
avx512,cqd,spmv,256,3.271622e-04,1024,10.8815
avx512,cd,spmv,512,2.423124e-04,1024,29.4826
avx512,cdd,spmv,512,1.830937e-04,2048,39.0183
avx512,ctd,spmv,512,4.874710e-04,512,14.6552
avx512,cqd,spmv,512,6.538476e-04,512,10.9261
avx512,cd,spmv,1024,4.895329e-04,512,29.2360
avx512,cdd,spmv,1024,3.653280e-04,1024,39.1757
avx512,ctd,spmv,1024,9.751292e-04,256,14.6770
avx512,cqd,spmv,1024,1.312993e-03,256,10.9003
avx512,cd,spmv,2048,9.760391e-04,256,29.3513
avx512,cdd,spmv,2048,7.386873e-04,512,38.7823
avx512,ctd,spmv,2048,1.969986e-03,128,14.5422
avx512,cqd,spmv,2048,2.653703e-03,128,10.7955
serial,cf,axpy,128,8.970022e-08,4194304,2853.9506
serial,cf,matvec,128,2.095703e-05,16384,1563.5805
serial,cf,matmul,128,5.830858e-03,64,719.3288
serial,cf,spmv,128,1.663300e-06,131072,1062.9470
serial,cds,axpy,128,1.855386e-06,131072,137.9767
serial,cds,matvec,128,4.513613e-04,512,72.5982
serial,cds,matmul,128,5.876678e-02,4,71.3720
serial,cds,spmv,128,1.479412e-05,16384,119.5070
serial,cts,axpy,128,1.702624e-05,16384,15.0356
serial,cts,matvec,128,1.345805e-03,256,24.3483
serial,cts,matmul,128,1.750350e-01,2,23.9627
serial,cts,spmv,128,7.916504e-05,4096,22.3331
serial,cqs,axpy,128,3.586497e-05,8192,7.1379
serial,cqs,matvec,128,4.538093e-03,64,7.2207
serial,cqs,matmul,128,5.827031e-01,1,7.1980
serial,cqs,spmv,128,2.393506e-04,1024,7.3867
serial,cf,axpy,256,1.728973e-07,2097152,2961.2950
serial,cf,matvec,256,1.309321e-04,2048,1001.0686
serial,cf,matmul,256,6.070673e-02,4,552.7300
serial,cf,spmv,256,3.417834e-06,65536,1041.5954
serial,cds,axpy,256,2.663384e-06,131072,192.2366
serial,cds,matvec,256,1.322180e-03,256,99.1332
serial,cds,matmul,256,3.444352e-01,1,97.4187
serial,cds,spmv,256,2.406360e-05,16384,147.9413
serial,cts,axpy,256,3.402162e-05,8192,15.0493
serial,cts,matvec,256,5.383592e-03,64,24.3466
serial,cts,matmul,256,1.396311e+00,1,24.0308
serial,cts,spmv,256,1.594664e-04,2048,22.3245
serial,cqs,axpy,256,7.173681e-05,4096,7.1372
serial,cqs,matvec,256,1.807056e-02,16,7.2533
serial,cqs,matmul,256,4.620400e+00,1,7.2622
serial,cqs,spmv,256,4.819357e-04,512,7.3869
serial,cf,axpy,512,2.393456e-07,1048576,4278.3326
serial,cf,matvec,512,4.587248e-04,512,1142.9249
serial,cf,matmul,512,3.840649e-01,1,698.9325
serial,cf,spmv,512,7.091461e-06,32768,1007.4087
serial,cds,axpy,512,5.309084e-06,65536,192.8769
serial,cds,matvec,512,5.347703e-03,64,98.0399
serial,cds,matmul,512,3.202712e+00,1,83.8150
serial,cds,spmv,512,4.843980e-05,8192,147.4820
serial,cts,axpy,512,6.857130e-05,4096,14.9334
serial,cts,matvec,512,2.157845e-02,16,24.2968
serial,cts,matmul,512,1.643900e+01,1,16.3292
serial,cts,spmv,512,3.198348e-04,1024,22.3365
serial,cqs,axpy,512,1.998672e-04,1024,5.1234
serial,cqs,matvec,512,1.006479e-01,2,5.2091
serial,cqs,matmul,512,4.569572e+01,1,5.8744
serial,cqs,spmv,512,9.654807e-04,256,7.3994
serial,cf,axpy,1024,7.026274e-07,524288,2914.7739
serial,cf,matvec,1024,2.818493e-03,128,744.0685
serial,cf,matmul,1024,1.342537e+01,1,159.9571
serial,cf,spmv,1024,1.409973e-05,16384,1015.0550
serial,cds,axpy,1024,1.445947e-05,16384,141.6373
serial,cds,matvec,1024,3.004849e-02,8,69.7923
serial,cds,matmul,1024,3.172457e+01,1,67.6915
serial,cds,spmv,1024,9.587110e-05,4096,149.2838
serial,cts,axpy,1024,1.380469e-04,2048,14.8355
serial,cts,matvec,1024,8.556348e-02,4,24.5099
serial,cts,matmul,1024,1.366322e+02,1,15.7173
serial,cts,spmv,1024,6.388281e-04,512,22.4035
serial,cqs,axpy,1024,4.011793e-04,512,5.1049
serial,cqs,matvec,1024,4.029009e-01,1,5.2051
serial,cqs,matmul,1024,3.563934e+02,1,6.0256
serial,cqs,spmv,1024,1.932444e-03,128,7.4062
serial,cf,axpy,2048,1.366554e-06,262144,2997.3203
serial,cf,matvec,2048,8.501589e-03,32,986.7106
serial,cf,matmul,2048,1.075865e+02,1,159.6842
serial,cf,spmv,2048,2.786817e-05,8192,1027.9829
serial,cds,axpy,2048,2.933104e-05,8192,139.6473
serial,cds,matvec,2048,1.189405e-01,2,70.5278
serial,cds,matmul,2048,2.847884e+02,1,60.3250
serial,cds,spmv,2048,1.920239e-04,2048,149.1897
serial,cts,axpy,2048,3.833419e-04,1024,10.6850
serial,cts,matvec,2048,3.730438e-01,1,22.4869
serial,cts,matmul,2048,1.621547e+03,1,10.5947
serial,cts,spmv,2048,1.281519e-03,256,22.3547
serial,cqs,axpy,2048,8.029528e-04,256,5.1012
serial,cqs,matvec,2048,1.223060e+00,1,6.8587
serial,cqs,matmul,2048,3.609518e+03,1,4.7596
serial,cqs,spmv,2048,3.865235e-03,64,7.4117
avx2,cf,axpy,128,5.343270e-08,4194304,4791.0736
avx2,cf,matvec,128,4.549820e-06,65536,7202.0431
avx2,cf,matmul,128,5.021624e-03,64,835.2485
avx2,cf,spmv,128,6.754213e-06,32768,261.7625
avx2,cds,axpy,128,2.203237e-07,1048576,1161.9266
avx2,cds,matvec,128,3.378699e-05,8192,969.8409
avx2,cds,matmul,128,7.821560e-03,32,536.2490
avx2,cds,spmv,128,2.634691e-05,8192,67.1046
avx2,cts,axpy,128,6.650604e-06,32768,38.4927
avx2,cts,matvec,128,8.816244e-04,256,37.1678
avx2,cts,matmul,128,9.825850e-02,4,42.6864
avx2,cts,spmv,128,1.090512e-04,2048,16.2126
avx2,cqs,axpy,128,8.171810e-06,32768,31.3272
avx2,cqs,matvec,128,1.142133e-03,256,28.6902
avx2,cqs,matmul,128,1.535865e-01,2,27.3091
avx2,cqs,spmv,128,2.278436e-04,1024,7.7597
avx2,cf,axpy,256,7.369209e-08,4194304,6947.8282
avx2,cf,matvec,256,1.428045e-05,16384,9178.4227
avx2,cf,matmul,256,6.372398e-02,4,526.5589
avx2,cf,spmv,256,1.356976e-05,16384,262.3480
avx2,cds,axpy,256,3.162861e-07,1048576,1618.7875
avx2,cds,matvec,256,1.277324e-04,2048,1026.1452
avx2,cds,matmul,256,1.224275e-01,2,274.0760
avx2,cds,spmv,256,5.223777e-05,4096,68.1499
avx2,cts,axpy,256,1.330218e-05,16384,38.4899
