backend,type,op,N,seconds,iters,mflops
avx512,double,spmv,512,1.859329e-06,131072,3842.2460
avx512,dd,spmv,512,1.528321e-05,16384,467.4412
avx512,td,spmv,512,8.198584e-05,4096,87.1370
avx512,qd,spmv,512,1.092368e-04,2048,65.3992
avx512,double,axpy,1024,8.926202e-08,4194304,22943.6896
avx512,double,matvec,1024,2.327794e-04,1024,9009.1813
avx512,double,matmul,1024,3.438481e+00,1,624.5443
avx512,dd,axpy,1024,4.039175e-07,524288,5070.3422
avx512,dd,matvec,1024,8.824961e-04,256,2376.3866
avx512,dd,matmul,1024,3.867625e+00,1,555.2461
avx512,td,axpy,1024,2.175728e-06,131072,941.2942
avx512,td,matvec,1024,2.732478e-03,128,767.4909
avx512,td,matmul,1024,1.153621e+01,1,186.1515
avx512,qd,axpy,1024,4.688889e-06,65536,436.7772
avx512,qd,matvec,1024,4.866283e-03,64,430.9556
avx512,qd,matmul,1024,2.017925e+01,1,106.4204
avx512,double,spmv,1024,3.681915e-06,65536,3887.1080
avx512,dd,spmv,1024,3.060402e-05,8192,467.6510
avx512,td,spmv,1024,1.640382e-04,2048,87.2480
avx512,qd,spmv,1024,2.186748e-04,1024,65.4488
avx512,double,axpy,2048,1.976537e-07,1048576,20723.1172
avx512,double,matvec,2048,9.330390e-04,256,8990.6295
avx512,double,matmul,2048,2.712958e+01,1,633.2522
avx512,dd,axpy,2048,7.996559e-07,262144,5122.2030
avx512,dd,matvec,2048,4.396766e-03,64,1907.9039
avx512,dd,matmul,2048,7.276308e+01,1,236.1069
avx512,td,axpy,2048,4.334917e-06,65536,944.8854
avx512,td,matvec,2048,1.093160e-02,32,767.3727
avx512,td,matmul,2048,1.695810e+02,1,101.3077
avx512,qd,axpy,2048,9.368749e-06,32768,437.1982
avx512,qd,matvec,2048,1.947744e-02,16,430.6833
avx512,qd,matmul,2048,3.330610e+02,1,51.5817
avx512,double,spmv,2048,7.622861e-06,32768,3758.1692
avx512,dd,spmv,2048,6.294431e-05,4096,455.1325
avx512,td,spmv,2048,3.282696e-04,1024,87.2697
avx512,qd,spmv,2048,4.375759e-04,512,65.4698
serial,float,axpy,2048,3.775892e-07,1048576,10847.7670
serial,float,matvec,2048,2.084142e-03,128,4024.9703
serial,float,matmul,2048,2.599955e+01,1,660.7755
serial,double,axpy,2048,3.660814e-07,1048576,11188.7686
serial,double,matvec,2048,2.298923e-03,128,3648.9292
serial,double,matmul,2048,2.700653e+01,1,636.1376
serial,dd,axpy,2048,5.314727e-06,65536,770.6887
serial,dd,matvec,2048,2.184656e-02,16,383.9784
serial,dd,matmul,2048,1.044863e+02,1,164.4222
serial,td,axpy,2048,2.801538e-05,8192,146.2054
serial,td,matvec,2048,5.959576e-02,4,140.7585
serial,td,matmul,2048,3.768665e+02,1,45.5861
serial,qd,axpy,2048,8.404662e-05,4096,48.7349
serial,qd,matvec,2048,1.641110e-01,2,51.1154
serial,qd,matmul,2048,6.828712e+02,1,25.1583
serial,ds,axpy,2048,5.266815e-06,65536,777.6997
serial,ds,matvec,2048,2.156112e-02,16,389.0619
serial,ds,matmul,2048,7.631239e+01,1,225.1256
serial,ts,axpy,2048,6.437622e-05,4096,63.6260
serial,ts,matvec,2048,8.584225e-02,4,97.7212
serial,ts,matmul,2048,3.480205e+02,1,49.3645
serial,qs,axpy,2048,1.491391e-04,2048,27.4643
serial,qs,matvec,2048,2.987940e-01,1,28.0749
serial,qs,matmul,2048,7.830316e+02,1,21.9402
serial,double,spmv,2048,9.569274e-06,32768,2993.7485
serial,dd,spmv,2048,4.740761e-05,8192,604.2912
serial,td,spmv,2048,2.091376e-04,1024,136.9816
serial,qd,spmv,2048,4.173089e-04,512,68.6494
serial,float,spmv,2048,6.802642e-06,32768,4211.3049
serial,ds,spmv,2048,4.784460e-05,8192,598.7718
serial,ts,spmv,2048,3.010889e-04,1024,95.1480
serial,qs,spmv,2048,9.698560e-04,256,29.5384
avx2,float,axpy,128,1.290405e-08,16777216,19838.7283
avx2,float,matvec,128,1.232956e-06,262144,26576.7887
avx2,float,matmul,128,8.963672e-04,256,4679.2250
avx2,ds,axpy,128,3.410588e-08,8388608,7506.0369
avx2,ds,matvec,128,8.377167e-06,32768,3911.5851
avx2,ds,matmul,128,1.951883e-03,128,2148.8505
avx2,ts,axpy,128,1.152470e-06,262144,222.1316
avx2,ts,matvec,128,1.622632e-04,2048,201.9435
avx2,ts,matmul,128,2.415025e-02,16,173.6754
avx2,qs,axpy,128,1.993019e-06,131072,128.4483
avx2,qs,matvec,128,2.872401e-04,1024,114.0788
avx2,qs,matmul,128,3.871164e-02,8,108.3474
avx2,float,spmv,128,1.642853e-06,131072,1076.1766
avx2,ds,spmv,128,9.138275e-06,32768,193.4720
avx2,ts,spmv,128,3.783594e-05,8192,46.7281
avx2,qs,spmv,128,8.476590e-05,4096,20.8574
avx2,float,axpy,256,2.439677e-08,8388608,20986.3855
avx2,float,matvec,256,5.199570e-06,65536,25208.2369
avx2,float,matmul,256,1.597056e-02,16,2101.0181
avx2,ds,axpy,256,6.816884e-08,4194304,7510.7625
avx2,ds,matvec,256,3.172411e-05,8192,4131.6215
avx2,ds,matmul,256,1.475488e-02,16,2274.1249
avx2,ts,axpy,256,2.297249e-06,131072,222.8753
avx2,ts,matvec,256,6.092889e-04,512,215.1229
avx2,ts,matmul,256,1.822320e-01,2,184.1303
avx2,qs,axpy,256,3.984238e-06,65536,128.5064
avx2,qs,matvec,256,1.065664e-03,256,122.9956
avx2,qs,matmul,256,2.899859e-01,1,115.7106
avx2,float,spmv,256,3.290636e-06,65536,1081.8579
avx2,ds,spmv,256,1.310730e-05,16384,271.6043
avx2,ts,spmv,256,5.431595e-05,4096,65.5424
avx2,qs,spmv,256,1.216953e-04,2048,29.2534
avx2,float,axpy,512,4.808805e-08,4194304,21294.2697
avx2,float,matvec,512,2.207911e-05,16384,23745.8829
avx2,float,matmul,512,1.242965e-01,2,2159.6373
avx2,ds,axpy,512,1.363215e-07,2097152,7511.6519
avx2,ds,matvec,512,1.241597e-04,2048,4222.6894
avx2,ds,matmul,512,1.302490e-01,2,2060.9403
avx2,ts,axpy,512,4.588499e-06,65536,223.1667
avx2,ts,matvec,512,2.374524e-03,128,220.7971
avx2,ts,matmul,512,1.490346e+00,1,180.1162
avx2,qs,axpy,512,7.941009e-06,32768,128.9509
avx2,qs,matvec,512,4.114345e-03,64,127.4293
avx2,qs,matmul,512,2.312633e+00,1,116.0735
avx2,float,spmv,512,6.702670e-06,32768,1065.8439
avx2,ds,spmv,512,2.715856e-05,8192,263.0478
avx2,ts,spmv,512,1.085728e-04,2048,65.7992
avx2,qs,spmv,512,2.466084e-04,1024,28.9690
avx2,float,axpy,1024,9.639780e-08,2097152,21245.2985
avx2,float,matvec,1024,1.441509e-04,2048,14548.3078
avx2,float,matmul,1024,3.886868e+00,1,552.4972
avx2,ds,axpy,1024,2.726688e-07,1048576,7510.9441
avx2,ds,matvec,1024,4.912051e-04,512,4269.4016
avx2,ds,matmul,1024,3.809440e+00,1,563.7268
avx2,ts,axpy,1024,1.280828e-05,16384,159.8966
avx2,ts,matvec,1024,1.319538e-02,16,158.9308
avx2,ts,matmul,1024,1.999412e+01,1,107.4058
avx2,qs,axpy,1024,1.596716e-05,16384,128.2632
avx2,qs,matvec,1024,1.610930e-02,16,130.1827
avx2,qs,matmul,1024,2.796419e+01,1,76.7941
avx2,float,spmv,1024,1.524347e-05,16384,938.8941
avx2,ds,spmv,1024,5.372684e-05,4096,266.3846
avx2,ts,spmv,1024,2.169814e-04,1024,65.9596
avx2,qs,spmv,1024,4.937658e-04,512,28.9854
avx2,float,axpy,2048,1.984833e-07,1048576,20636.4918
avx2,float,matvec,2048,5.969298e-04,512,14052.9220
avx2,float,matmul,2048,2.710402e+01,1,633.8494
avx2,ds,axpy,2048,5.492002e-07,524288,7458.1183
avx2,ds,matvec,2048,2.100211e-03,128,3994.1746
avx2,ds,matmul,2048,5.684264e+01,1,302.2356
avx2,ts,axpy,2048,1.834125e-05,16384,223.3218
avx2,ts,matvec,2048,3.743339e-02,8,224.0943
avx2,ts,matmul,2048,1.871379e+02,1,91.8033
avx2,qs,axpy,2048,3.217286e-05,8192,127.3123
avx2,qs,matvec,2048,6.485200e-02,4,129.3500
avx2,qs,matmul,2048,2.619637e+02,1,65.5811
avx2,float,spmv,2048,2.681924e-05,8192,1068.1884
avx2,ds,spmv,2048,1.053551e-04,2048,271.9186
